68134, 1, 'ЖК', 'БАНИШОРА', 'жк БАНИШОРА', 'ZHK', 'BANISHORA', 'zhk BANISHORA'
68134, 2, 'ЖК', 'БЕЛИТЕ БРЕЗИ', 'жк БЕЛИТЕ БРЕЗИ', 'ZHK', 'BELITE BREZI', 'zhk BELITE BREZI'
68134, 3, 'ЖК', 'БОРОВО', 'жк БОРОВО', 'ZHK', 'BOROVO', 'zhk BOROVO'
68134, 4, 'ЖК', 'БЪКСТОН', 'жк БЪКСТОН', 'ZHK', 'BUXTON', 'zhk BUXTON'
68134, 5, 'ЖК', 'ВЛАДИМИР ЗАИМОВ', 'жк ВЛАДИМИР ЗАИМОВ', 'ZHK', 'VLADIMIR ZAIMOV', 'zhk VLADIMIR ZAIMOV'
68134, 6, 'ЖК', 'ВРЪБНИЦА 1', 'жк ВРЪБНИЦА 1', 'ZHK', 'VRABNITSA 1', 'zhk VRABNITSA 1'
68134, 7, 'ЖК', 'ВРЪБНИЦА 2', 'жк ВРЪБНИЦА 2', 'ZHK', 'VRABNITSA 2', 'zhk VRABNITSA 2'
68134, 9, 'ЖК', 'ГЕВГЕЛИЙСКИ', 'жк ГЕВГЕЛИЙСКИ', 'ZHK', 'GEVGELIYSKI', 'zhk GEVGELIYSKI'
68134, 10, 'ЖК', 'ГЕО МИЛЕВ', 'жк ГЕО МИЛЕВ', 'ZHK', 'GEO MILEV', 'zhk GEO MILEV'
68134, 11, 'ЖК', 'ГОРУБЛЯНЕ', 'жк ГОРУБЛЯНЕ', 'ZHK', 'GORUBLYANE', 'zhk GORUBLYANE'
68134, 12, 'ЖК', 'ГОЦЕ ДЕЛЧЕВ', 'жк ГОЦЕ ДЕЛЧЕВ', 'ZHK', 'GOTSE DELCHEV', 'zhk GOTSE DELCHEV'
68134, 13, 'ЖК', 'ДИАНАБАД', 'жк ДИАНАБАД', 'ZHK', 'DIANABAD', 'zhk DIANABAD'
68134, 14, 'ЖК', 'ДРУЖБА 1', 'жк ДРУЖБА 1', 'ZHK', 'DRUZHBA 1', 'zhk DRUZHBA 1'
68134, 15, 'ЖК', 'ДРУЖБА 2', 'жк ДРУЖБА 2', 'ZHK', 'DRUZHBA 2', 'zhk DRUZHBA 2'
68134, 16, 'ЖК', 'ДЪРВЕНИЦА', 'жк ДЪРВЕНИЦА', 'ZHK', 'DARVENITSA', 'zhk DARVENITSA'
68134, 18, 'ЖК', 'ЗАПАДЕН ПАРК', 'жк ЗАПАДЕН ПАРК', 'ZHK', 'ZAPADEN PARK', 'zhk ZAPADEN PARK'
68134, 19, 'ЖК', 'ЗАХАРНА ФАБРИКА', 'жк ЗАХАРНА ФАБРИКА', 'ZHK', 'ZAHARNA FABRIKA', 'zhk ZAHARNA FABRIKA'
68134, 23, 'ЖК', 'ИВАН ВАЗОВ', 'жк ИВАН ВАЗОВ', 'ZHK', 'IVAN VAZOV', 'zhk IVAN VAZOV'
68134, 24, 'ЖК', 'ИЗГРЕВ', 'жк ИЗГРЕВ', 'ZHK', 'IZGREV', 'zhk IZGREV'
68134, 25, 'ЖК', 'ИЗТОК', 'жк ИЗТОК', 'ZHK', 'IZTOK', 'zhk IZTOK'
68134, 26, 'ЖК', 'ИЛИНДЕН', 'жк ИЛИНДЕН', 'ZHK', 'ILINDEN', 'zhk ILINDEN'
68134, 27, 'ЖК', 'КРАСНА ПОЛЯНА', 'жк КРАСНА ПОЛЯНА', 'ZHK', 'KRASNA POLYANA', 'zhk KRASNA POLYANA'
68134, 28, 'ЖК', 'КРАСНА ПОЛЯНА 2', 'жк КРАСНА ПОЛЯНА 2', 'ZHK', 'KRASNA POLYANA 2', 'zhk KRASNA POLYANA 2'
68134, 29, 'ЖК', 'КРАСНА ПОЛЯНА 3', 'жк КРАСНА ПОЛЯНА 3', 'ZHK', 'KRASNA POLYANA 3', 'zhk KRASNA POLYANA 3'
68134, 30, 'ЖК', 'КРАСНО СЕЛО', 'жк КРАСНО СЕЛО', 'ZHK', 'KRASNO SELO', 'zhk KRASNO SELO'
68134, 32, 'ЖК', 'ЛАГЕРА', 'жк ЛАГЕРА', 'ZHK', 'LAGERA', 'zhk LAGERA'
68134, 33, 'ЖК', 'ЛЕВ ТОЛСТОЙ', 'жк ЛЕВ ТОЛСТОЙ', 'ZHK', 'LEV TOLSTOY', 'zhk LEV TOLSTOY'
68134, 34, 'ЖК', 'ЛЕВСКИ В', 'жк ЛЕВСКИ В', 'ZHK', 'LEVSKI V', 'zhk LEVSKI V'
68134, 35, 'ЖК', 'ЛЕВСКИ Г', 'жк ЛЕВСКИ Г', 'ZHK', 'LEVSKI G', 'zhk LEVSKI G'
68134, 36, 'ЖК', 'ЛОЗЕНЕЦ', 'жк ЛОЗЕНЕЦ', 'ZHK', 'LOZENETS', 'zhk LOZENETS'
